model,seed,balanced_acc,precision,recall,f1,roc_auc,pr_auc
HGB,42,0.8339953920711846,0.85995085995086,0.8536585365853658,0.8567931456548348,0.9227615794073252,0.942380088350118
HGB,43,0.8160919540229885,0.8444444444444444,0.8735632183908046,0.8587570621468928,0.8904003170828378,0.923531528513617
HGB,44,0.8523081846547724,0.883177570093458,0.877030162412993,0.880093131548312,0.9311944955596448,0.9549658934484228
HGB,45,0.8428584086478823,0.8771498771498771,0.854066985645933,0.8654545454545455,0.929067388397532,0.9499809587732851
HGB,46,0.8011866913752359,0.8505494505494505,0.8619153674832962,0.8561946902654868,0.8982429147044322,0.9373417028978704
HGB,47,0.8442412259021255,0.8671328671328671,0.8857142857142857,0.8763250883392225,0.9269154720711816,0.9470941317621672
HGB,48,0.8606848364557615,0.8977777777777778,0.8898678414096917,0.8938053097345133,0.9272320924303304,0.951906004314027
HGB,49,0.8359433551198256,0.9069212410501192,0.8278867102396514,0.8656036446469247,0.9192941176470588,0.9501333368402358
HGB,50,0.845175920835624,0.8791469194312796,0.866822429906542,0.8729411764705882,0.9166639718009248,0.9371711198605944
HGB,51,0.8273605510752688,0.8940092165898618,0.8344086021505376,0.8631813125695217,0.9191112231182796,0.9552170576288322
LR,42,0.8144196393103996,0.8187919463087249,0.8926829268292683,0.85414235705951,0.8583935806784779,0.8818733405154069
LR,43,0.7522988505747126,0.769825918762089,0.9149425287356322,0.8361344537815125,0.840887831946096,0.8796426537143076
LR,44,0.786982958636691,0.7983870967741935,0.9187935034802784,0.854368932038835,0.8384350748059844,0.8730198187101589
LR,45,0.8318713450292398,0.8362445414847162,0.916267942583732,0.8744292237442921,0.8794081162502214,0.8937884169805647
LR,46,0.7601625325150037,0.801980198019802,0.9020044543429844,0.8490566037735848,0.8401196892160696,0.8888604473173509
LR,47,0.7941959136595815,0.7979591836734694,0.930952380952381,0.8593406593406593,0.8685944966221784,0.892644757246612
LR,48,0.7991802617353279,0.8260869565217391,0.920704845814978,0.8708333333333335,0.8602894902454374,0.9100981753264143
LR,49,0.8075337690631808,0.8556485355648535,0.8910675381263616,0.872998932764141,0.8831721132897603,0.9258377843307768
LR,50,0.784327199818905,0.7975460122699386,0.911214953271028,0.8505997818974919,0.8516638101089804,0.8828641845386387
LR,51,0.8118657594086022,0.8551020408163266,0.9010752688172043,0.8774869109947644,0.8669690860215052,0.9212596500886394
RF,42,0.8323349487566537,0.8394495412844036,0.8926829268292683,0.8652482269503546,0.920239135616112,0.940560954082626
RF,43,0.796551724137931,0.8158995815899581,0.896551724137931,0.8543263964950711,0.8883551327784384,0.9235071809190116
RF,44,0.8179214337146972,0.8358531317494601,0.8979118329466357,0.8657718120805369,0.929754380350428,0.9513850305959716
RF,45,0.833599149388623,0.8449438202247191,0.8995215311004785,0.8713789107763615,0.9307388075330658,0.9510496828993876
RF,46,0.8107329264353356,0.8507462686567164,0.888641425389755,0.869281045751634,0.8952251823390401,0.9308327422047644
RF,47,0.8305280935903774,0.8336886993603412,0.930952380952381,0.8796400449943758,0.9190805734058328,0.9382838812777096
RF,48,0.8299083442255248,0.8679653679653679,0.8832599118942731,0.8755458515283843,0.9254247954688484,0.9496360646784476
RF,49,0.838087145969499,0.8879120879120879,0.8801742919389978,0.8840262582056894,0.919346405228758,0.9486100566846012
RF,50,0.817583190505449,0.8415178571428571,0.8808411214953271,0.8607305936073061,0.9094565533745108,0.9356966915878924
RF,51,0.8353914650537635,0.8836206896551724,0.8817204301075269,0.8826695371367062,0.920047883064516,0.9533024364449144
